<<<<<<< HEAD
Ev_id,A_id
Ev0034,A0031
Ev0035,A0034
Ev0036,A0040
Ev0037,a0039
Ev0046,A0031
Ev0048,A0011
Ev0050,A0040
Ev0051,A0039
Ev0052,A0039
Ev0053,A0036
Ev0055,A0035
Ev0056,A0035
Ev0057,A0035
Ev0058,A0035
Ev0059,A0035
Ev0060,A0035
Ev0061,A0035
Ev0062,A0035
Ev0063,A0035
Ev0055,A0038
Ev0056,A0005|A0007|A0008|A0009
Ev0057,A0031
Ev0063,A0039
Ev0061,A0040
Ev0061,A0040
Ev0074,A0031
Ev0086,A0011
Ev0099,A0040
Ev0100,A0039
Ev0109,A0040
Ev0110,A0039
=======
Ev_id,A_id
Ev0034,A0031
Ev0035,A0034
Ev0036,A0040
Ev0037,a0039
Ev0046,A0031
Ev0048,A0011
Ev0050,A0040
Ev0051,A0039
Ev0052,A0039
Ev0053,A0036
Ev0055,A0035
Ev0056,A0035
Ev0057,A0035
Ev0058,A0035
Ev0059,A0035
Ev0060,A0035
Ev0061,A0035
Ev0062,A0035
Ev0063,A0035
Ev0055,A0038
Ev0056,A0005|A0007|A0008|A0009
Ev0057,A0031
Ev0063,A0039
Ev0061,A0040
Ev0061,A0040
Ev0074,A0031
Ev0086,A0011
Ev0099,A0040
Ev0100,A0039
Ev0109,A0040
Ev0110,A0039
>>>>>>> 0da209a65d0dd8ad87df09e1cf051509219da58b
